Species Tree Node	Duplications (all)	Duplications (50% support)
Rippkaea_orientalis_PCC_8801_GCF_000021805.1_protein	341	341
cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1_GCF_020885515.1_protein	2	2
cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB_GCF_003574135.1_protein	8	8
N0	51	39
N1	4	1
N2	262	210
N3	6	1
N4	3	3
cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko_GCF_000829235.1_protein	10	10
Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	439	439
